Resource ID,Resource Type,Month,Given Date,Tag,Title,Description,Action,Amount,Group,Driver ID,Attachment,Account
10000,booking,5/1/2023,6/1/2023,,Sample title 3,Sample description 3,dr,1855,,,,cih-normal-cash-in-hand-yahya
10001,booking,5/1/2023,1/14/2023,,Sample title 2,,cr,1588,,,,
10001,booking,5/1/2023,4/14/2023,,Sample title 3,,dr,878,,,https://kingriders.s3.ap-southeast-1.amazonaws.com/public/uploads/riders/invoice_picture/6GhOFbzHwPXt513KiUEkE0wuPscVJwfhHOFh2EJP.jpg,
10000,booking,5/1/2023,4/5/2023,,Sample title 3,,cr,1486,,,,
10001,booking,5/1/2023,2/10/2023,,Sample title 2,Sample description 1,cr,751,,,,cih-normal-cash-in-hand-yahya
10001,booking,5/1/2023,2/2/2023,,Sample title 2,Sample description 1,dr,1100,,,,cih-normal-cash-in-hand-test
10001,booking,5/1/2023,6/2/2023,,Sample title 2,,cr,285,,,,
10001,booking,5/1/2023,2/14/2023,,Sample title 3,Sample description 3,cr,1367,,,https://kingriders.s3.ap-southeast-1.amazonaws.com/public/uploads/riders/invoice_picture/2xGpi1DfhLvyZiozEX579iNZsHED6ZH0cE5ub3pG.jpg,
10001,booking,5/1/2023,2/24/2023,,Sample title 3,,cr,1056,,,,cih-normal-cash-in-hand-test
10000,booking,5/1/2023,6/9/2023,,Sample title 3,,cr,605,,,,
10001,booking,5/1/2023,2/19/2023,,Sample title 2,Sample description 1,dr,1085,,,,cih-normal-cash-in-hand-test
10000,booking,5/1/2023,1/7/2023,,Sample title 1,Sample description 3,dr,560,,,https://kingriders.s3.ap-southeast-1.amazonaws.com/public/uploads/riders/invoice_picture/JEUH60l4wSOdDL1CjIPncbHKh9ArN3H3i0DDT3Ej.jpg,cih-normal-cash-in-hand-yahya
10000,booking,5/1/2023,1/7/2023,,Sample title 2,,dr,770,,,https://kingriders.s3.ap-southeast-1.amazonaws.com/public/uploads/riders/invoice_picture/QgZsr29RzEaLeT20LopBYtCJzcBAb8ofZjipYoAT.jpg,cih-normal-cash-in-hand-yahya
